variable_1,variable_2,correlation,abs_correlation,strength,direction
Defense,Sp. Def,0.5107465890885571,0.5107465890885571,Moderate,Positive
Sp. Atk,Sp. Def,0.5061214206155485,0.5061214206155485,Moderate,Positive
Sp. Atk,Speed,0.47301788366869885,0.47301788366869885,Moderate,Positive
Attack,Defense,0.4386870551184902,0.4386870551184902,Moderate,Positive
HP,Attack,0.4223860287762229,0.4223860287762229,Moderate,Positive
Attack,Sp. Atk,0.3963617553492322,0.3963617553492322,Weak,Positive
Attack,Speed,0.3812397392410898,0.3812397392410898,Weak,Positive
HP,Sp. Def,0.3787180686125631,0.3787180686125631,Weak,Positive
HP,Sp. Atk,0.36237985740715567,0.36237985740715567,Weak,Positive
Attack,Sp. Def,0.26398955110108824,0.26398955110108824,Weak,Positive
Sp. Def,Speed,0.25913311391680766,0.25913311391680766,Weak,Positive
HP,Defense,0.23962231884672594,0.23962231884672594,Weak,Positive
Defense,Sp. Atk,0.22354860947242255,0.22354860947242255,Weak,Positive
HP,Speed,0.17595206187898577,0.17595206187898577,Very Weak,Positive
HP,Generation,0.05868250804073853,0.05868250804073853,Very Weak,Positive
Attack,Generation,0.05145133670847111,0.05145133670847111,Very Weak,Positive
Defense,Generation,0.04241856657677592,0.04241856657677592,Very Weak,Positive
Sp. Atk,Generation,0.036436828648675035,0.036436828648675035,Very Weak,Positive
Sp. Def,Generation,0.028485991779450208,0.028485991779450208,Very Weak,Positive
Speed,Generation,-0.02312106042589799,0.02312106042589799,Very Weak,Negative
Defense,Speed,0.01522659808859742,0.01522659808859742,Very Weak,Positive
