features,accuracy,f1,recall,specificity
Diff_HP,0.6089,0.6089389350720474,0.6253097007813989,0.5907847675152536
Diff_Attack,0.652,0.6521797807453428,0.6540880503144654,0.6496949295181991
Diff_Defense,0.5556,0.5554947995953202,0.5252525252525253,0.5891016200294551
Diff_Sp. Atk,0.6452,0.6448727059130568,0.6756241661902039,0.6116137176520092
Diff_Sp. Def,0.6057,0.6059356370783797,0.6041547550981513,0.6074058489375131
Diff_Speed,0.9417,0.9417221338523143,0.9353916523727844,0.9486640016831475
Legendary_P1,0.5643,0.46961232799198976,0.960167714884696,0.12728802861350727
Legendary_P2,0.5224,0.42317773006754766,0.12159329140461216,0.9648642962339575
"Diff_HP,Diff_Attack",0.6269,0.6269694383567576,0.6405565084810367,0.611824111087734
"Diff_HP,Diff_Defense",0.5845,0.5843112960451923,0.6115875738517248,0.554597096570587
"Diff_HP,Diff_Sp. Atk",0.6158,0.6158793351648493,0.6295025728987993,0.6006732589943193
"Diff_HP,Diff_Sp. Def",0.5878,0.5880516297383543,0.5837621497998856,0.5922575215653272
"Diff_HP,Diff_Speed",0.9348,0.9348193862117561,0.931198780255384,0.9387755102040817
"Diff_Attack,Diff_Defense",0.6272,0.6273849915039531,0.6314084238612541,0.6225541763096991
"Diff_Attack,Diff_Sp. Atk",0.6462,0.6463607911011573,0.6512292738707833,0.6406480117820325
"Diff_Attack,Diff_Sp. Def",0.6333,0.6333331695137153,0.6487516676195921,0.6162423732379549
"Diff_Attack,Diff_Speed",0.934,0.9340136286332119,0.9327234610253479,0.9354092152324848
"Diff_Defense,Diff_Sp. Atk",0.6088,0.6088038587486413,0.6270249666476082,0.5886808331580055
"Diff_Defense,Diff_Sp. Def",0.5967,0.5966733499934246,0.616923956546598,0.5743740795287187
"Diff_Defense,Diff_Speed",0.9291,0.9291149252028986,0.9279588336192109,0.9303597727750894
"Diff_Sp. Atk,Diff_Sp. Def",0.6218,0.6219492424780532,0.6300743281875357,0.6126656848306333
"Diff_Sp. Atk,Diff_Speed",0.93,0.9300161202932496,0.9283400038117019,0.931832526825163
"Diff_Sp. Def,Diff_Speed",0.93,0.9300144546109824,0.9289117591004383,0.9312013465179887
